drug_id,prot_id,affinity
6918454,ERBB4,5.0
11485656,MET(Y1235D),5.585026652029182
10138260,AURKA,5.0
6450551,SRMS,5.0
3081361,PIK4CB,5.0
16007391,TNIK,5.070581074285707
176155,PIK3CA(C420R),5.0
9926054,GRK1,5.0
5287969,MAST1,5.0
3062316,ERK3,5.0
10113978,SRMS,5.6020599913279625
176155,MET,5.0
4908365,ICK,5.0
11234052,NEK9,5.0
11364421,SIK,5.0
11656518,YANK3,5.0
3081361,MARK4,5.0
24180719,EGFR,5.0
11617559,JNK3,5.0
9884685,ULK1,5.0
42642645,TXK,6.275724130399211
9926791,MST4,5.0
4908365,TAOK2,5.0
11717001,AKT2,5.0
6450551,MYLK,5.0
10461815,PIM1,5.0
9926791,MEK4,5.0
16038120,ERK4,5.0
9884685,SRPK3,5.0
156414,STK16,5.0
156414,ERK3,5.769551078621726
208908,MERTK,5.0
9809715,EPHA5,5.0
208908,MYLK2,5.0
11626560,CDK8,5.0
9884685,ABL1p,5.0
11717001,ACVR2B,5.0
11617559,ROCK1,5.0
151194,AURKA,5.0
9884685,AURKB,5.0
11626560,MAST1,5.0
10113978,CAMK1D,5.0
151194,GCN2(KinDom2S808G),5.0
16038120,PIK3CA(C420R),5.0
156422,CDK11,6.698970004336019
24180719,MAP4K5,5.494850021680094
208908,CSNK2A2,5.0
42642645,DRAK2,5.0
16007391,TAOK1,5.0
11626560,GCN2(KinDom2S808G),5.0
11314340,MLCK,6.3979400086720375
151194,PKNB(Mtuberculosis),5.0
5287969,STK35,6.346787486224656
11485656,AURKC,7.1487416512809245
10184653,PIK3CA(E545K),5.0
11234052,TYRO3,5.0
3062316,PCTK3,5.0
9933475,PRKD1,5.0
9809715,PIK3CD,5.0
6918454,KIT(V559D),5.0
208908,NEK1,5.0
11314340,NEK4,5.0
6918454,NEK4,5.0
156414,PKAC-alpha,5.0
11984591,ROCK2,6.251811972993799
11984591,DMPK,5.0
9915743,FLT3(D835Y),5.508638306165728
4908365,CSF1R,8.494850021680094
6450551,NEK7,5.0
11626560,KIT(D816H),5.0
9884685,JNK3,5.0
11364421,DMPK,5.537602002101044
11667893,PRKCQ,5.0
156414,IRAK3,5.522878745280337
156414,MLK2,5.0
176155,ROCK1,5.0
11626560,PIK3CA(E545K),5.0
176155,CAMK2B,5.0
9809715,CDKL3,5.0
208908,MARK4,5.0
10138260,ABL1(E255K),6.508638306165728
10184653,SLK,5.431798275933005
208908,ABL1(Q252H)p,5.0
24180719,MEK4,6.721246399047171
3081361,MAK,5.0
16038120,ABL1(M351T),7.022276394711152
3025986,MLCK,5.769551078621726
3025986,TYRO3,5.0
11427553,DYRK2,6.4089353929735005
9884685,MLCK,5.0
3025986,EGFR(L747T751del),5.0
208908,CAMK2A,5.0
156422,EPHA2,5.2076083105017466
11364421,MST1R,5.0
11717001,STK36,5.0
16007391,FRK,5.0
11656518,ABL1(F317I),5.10790539730952
11667893,AXL,5.0
3062316,ABL1p,10.337242168318426
6918454,HUNK,5.0
11485656,CAMK2D,5.0
9809715,ABL1(F317I)p,5.585026652029182
11984591,ACVR2A,5.0
11234052,CIT,5.0
6450551,STK16,6.431798275933005
9933475,CDKL5,5.0
11717001,MYO3B,5.0
176155,RAF1,6.008773924307505
10138260,TLK1,6.200659450546419
9809715,ROS1,5.431798275933005
11617559,EPHB2,5.0
24180719,JNK3,5.0
16038120,PFTK1,5.0
10184653,ACVR2A,5.0
42642645,RIOK2,5.0
11984591,EPHA5,6.0655015487564325
24889392,PFPK5(Pfalciparum),5.0
9809715,MET(Y1235D),6.337242168318426
9926054,PIM1,5.0
42642645,JAK1(JH2domain-pseudokinase),5.0
176167,MYO3B,5.0
9926054,MEK3,5.0
11656518,ERK1,5.0
10184653,MLCK,5.0
11717001,LIMK1,5.0
11984591,NLK,5.0
9809715,TESK1,5.0
11427553,FRK,5.6777807052660805
6918454,RIOK3,5.0
11485656,JNK2,6.619788758288394
3081361,JAK1(JH1domain-catalytic),5.0
10113978,MAP4K3,5.795880017344075
9809715,PRKX,5.0
9933475,YANK1,5.0
4908365,CDK8,5.0
16007391,PDGFRB,7.387216143280264
16007391,CAMK2D,5.0
11717001,MAP4K3,5.0
156414,PFTK1,5.0
11617559,KIT(D816H),5.0
24889392,NEK4,5.0
10138260,AMPK-alpha1,7.0
9915743,ANKK1,5.0
208908,MAP4K5,5.0
10184653,DLK,5.0
176155,ERN1,5.0
9884685,PRKG2,5.0
151194,ASK1,5.0
9933475,CDK4-cyclinD3,5.0
10138260,FGFR3(G697C),6.42021640338319
156414,RET,5.376750709602099
156414,DMPK,5.154901959985743
9926054,PHKG2,5.0
9926791,BRAF,5.0
176155,MST3,5.0
10184653,FGFR3,5.0
6450551,MYO3B,5.0
208908,DDR2,5.0
3081361,DAPK1,5.0
151194,PIK3CA(E545K),5.0
11667893,PKN2,5.0
11427553,AURKC,7.229147988357856
10461815,MUSK,5.0
9926791,MEK1,5.0
9884685,CIT,5.0
16007391,CSNK1A1,5.0
6918454,ABL1(Q252H),5.0
156414,AKT2,5.0
11364421,CAMK2A,5.886056647693163
9884685,IKK-alpha,5.769551078621726
5287969,AXL,5.455931955649724
11485656,SgK110,5.0
16725726,MAP3K2,6.468521082957745
5287969,EPHB1,5.823908740944319
11626560,FGFR2,5.0
9926791,FRK,5.0
24180719,TNK2,5.958607314841775
24889392,TXK,5.0
11234052,BMPR2,5.0
9884685,FGFR3(G697C),5.0
4908365,MAP3K2,7.0655015487564325
10184653,VEGFR2,5.0
11626560,TEC,5.0
11427553,MEK1,6.275724130399211
9915743,BTK,6.795880017344075
9809715,TRKB,7.721246399047171
11234052,CDKL2,5.0
11234052,MKNK1,5.0
11717001,PFTAIRE2,5.0
11656518,FGR,5.0
