drug_id,prot_id,affinity
17755052,KIT(V559D-T670I),5.0
17755052,NEK1,5.0
11338033,DRAK1,5.0
10074640,PAK1,5.0
10138260,ABL2,5.0
9926054,MAPKAPK5,5.0
123631,FLT3(D835H),5.958607314841775
156422,DCAMKL3,5.0
11364421,PCTK1,5.0
9929127,ABL1(T315I),5.0
4908365,ADCK3,5.0
44150621,CASK,5.0
24779724,MINK,5.0
11314340,FGFR1,5.0
16038120,MST1,6.481486060122113
10127622,CLK4,5.0
11667893,IRAK4,5.0
4908365,PRKX,5.0
126565,MAP3K4,5.585026652029182
5291,MKK7,5.0
216239,CDK11,6.6020599913279625
25127112,ABL1(T315I),5.0
11409972,ACVRL1,5.0
11717001,PFPK5(Pfalciparum),5.0
10461815,MARK1,5.0
16007391,PRKCE,5.0
176155,OSR1,5.0
5494449,PIM1,5.0
5494449,MKK7,5.0
17755052,MST4,5.0
10427712,CSNK1A1L,5.721246399047171
176155,CAMK2B,5.0
156414,CDC2L2,5.0
24889392,EPHB4,5.0
3038525,MKK7,5.0
9926054,PFCDPK1(Pfalciparum),5.0
11485656,CDK9,5.522878745280337
11409972,PRP4,5.0
3038522,FLT3,8.522878745280337
10138260,ABL1(M351T),6.301029995663981
24889392,ERBB4,5.0
5329102,HPK1,7.795880017344075
123631,EGFR(L861Q),8.853871964321762
151194,EGFR(L747S752del),5.0
10427712,ABL1(F317I)p,5.0
176167,EPHB4,5.0
11984591,GRK4,6.346787486224656
9915743,MLCK,5.0
9809715,CLK4,7.744727494896694
5329102,CDK5,5.161150909262744
10138260,BTK,5.3979400086720375
16725726,IRAK4,5.0
5494449,PFTK1,5.0
25243800,ARK5,5.0
24180719,ABL1(E255K),5.346787486224656
9926791,FGR,5.0
156414,PIK3CA(E542K),5.0
208908,PRKD3,5.0
16725726,PAK6,7.67778070526608
10074640,GSK3B,5.0
11656518,PIM3,5.0
11617559,CAMKK2,5.0
9933475,ANKK1,5.0
156414,EGFR(G719S),9.721246399047171
9884685,KIT,5.0
11234052,MARK1,5.0
16007391,CSF1R,5.853871964321762
11485656,EPHA6,6.481486060122113
16007391,BTK,5.920818753952375
176155,GRK4,5.0
24779724,MST3,5.0
11338033,PFCDPK1(Pfalciparum),5.0
3062316,DAPK1,5.0
5291,MEK5,5.0
16007391,ACVR2B,5.0
176167,EGFR(L858RT790M),5.0
447077,MKK7,5.0
10138260,HUNK,8.431798275933005
11409972,CDK3,6.853871964321762
11314340,FLT3(N841I),6.698970004336019
176155,ABL1(T315I)p,5.0
126565,CSNK2A1,5.585026652029182
25127112,CLK1,5.0
44150621,NDR2,5.0
11717001,PIK3CA(E545A),5.0
11626560,CDK11,5.0
9884685,ABL1(E255K),5.0
42642645,GRK7,5.0
3062316,PAK4,5.0
11427553,AMPK-alpha2,6.356547323513813
216239,BRK,5.0
9915743,ERK1,5.0
11485656,PIP5K2B,5.0
5328940,MAPKAPK5,5.0
11656518,KIT(V559D),6.769551078621726
10113978,INSRR,5.0
10074640,CTK,5.0
10461815,CSF1R,6.154901959985743
5329102,PDPK1,5.455931955649724
16038120,LCK,7.309803919971486
3081361,PLK1,5.0
9926054,ACVR2B,5.0
11667893,AKT2,5.0
44150621,EIF2AK1,5.0
126565,NDR1,6.657577319177793
123631,CHEK1,5.0
11626560,CSNK1E,5.0
10184653,MAST1,5.0
156422,FGFR3,5.0
10074640,IRAK4,5.0
216239,NDR2,5.0
10127622,EGFR(L858RT790M),5.0
10461815,DRAK1,5.3979400086720375
10427712,EGFR(T790M),5.161150909262744
11656518,AKT2,5.0
17755052,JAK1(JH2domain-pseudokinase),6.366531544420414
10184653,MERTK,5.0
153999,ACVR2A,5.0
24779724,MEK4,5.0
3038522,DMPK,5.0
5287969,ACVR1,5.721246399047171
9926791,ABL1(Q252H),5.0
11364421,GAK,6.744727494896694
9926791,MST4,5.0
17755052,ERK5,5.0
16725726,CAMKK1,5.0
25243800,EPHA3,6.4089353929735005
9926054,DAPK3,5.0
9926054,CSF1R,5.0
9915743,ERBB3,8.113509274827518
11485656,DAPK1,5.0
644241,CDK2,5.0
5494449,GRK1,5.0
5291,ERBB3,5.0
51004351,FER,5.920818753952375
11485656,INSRR,5.4089353929735005
11626560,CAMK1D,5.0
11314340,MAK,5.0
11667893,NEK5,5.0
10184653,PIP5K1C,5.0
4908365,MKK7,5.0
123631,CAMK4,5.0
44259,CHEK1,8.494850021680094
6450551,ASK2,5.0
11485656,PRKD2,5.0
6918454,DYRK2,5.0
156414,PIP5K2C,5.0
176167,CSK,5.0
11409972,MAP3K3,5.0
16722836,EGFR(G719S),5.0
153999,NEK4,5.0
4908365,PIP5K2C,5.0
10113978,CSNK1G2,5.0
10138260,PIK3CG,5.0
11427553,PLK1,5.0
3081361,CDKL3,5.0
9809715,ABL1(Y253F),7.431798275933005
5329102,KIT(V559D-T670I),9.55284196865778
9929127,PLK1,5.0
9933475,EPHA7,6.2076083105017466
3062316,EPHA4,8.920818753952375
42642645,CSNK1E,5.337242168318426
10138260,MAP4K2,5.769551078621726
447077,ITK,5.0
11656518,MEK2,5.0
3062316,PLK4,5.0
447077,LIMK2,6.508638306165728
11656518,MTOR,5.0
123631,PDGFRA,5.0
3025986,CAMK4,5.0
4908365,PRKCQ,5.0
123631,KIT(V559D),5.0
11626560,ABL1(F317L)p,6.229147988357856
11712649,PIK3CA,5.0
9926054,INSRR,5.0
11667893,MLK1,5.0
10461815,NEK2,6.221848749616356
447077,LRRK2(G2019S),5.292429823902063
42642645,BMPR1A,5.0
17755052,EPHB1,5.0
10127622,MARK1,5.0
11656518,OSR1,5.0
9926791,MARK3,5.0
42642645,HIPK4,9.292429823902063
176167,LRRK2,5.0
17755052,JAK1(JH1domain-catalytic),5.0
11409972,NDR2,5.6777807052660805
11314340,ERN1,5.0
10184653,PRKCQ,5.0
11984591,EGFR(L747S752del),6.251811972993799
4908365,EPHA6,5.356547323513813
216239,EPHA7,5.275724130399211
10138260,CSNK1D,6.585026652029182
153999,PIK3CA(M1043I),5.0
11314340,EPHA2,5.0
176870,ACVR2B,5.0
3038522,BIKE,5.0
216239,FRK,6.292429823902063
51004351,EGFR(S752I759del),5.744727494896694
11656518,CSNK2A2,5.0
5287969,ACVRL1,5.346787486224656
44150621,PIK3CA(Q546K),5.0
16722836,CAMK2A,6.522878745280337
3025986,CDC2L2,7.318758762624413
24180719,MEK6,5.0
9926791,ERK2,5.0
10461815,AURKC,6.522878745280337
5329102,CDK4-cyclinD3,5.698970004336019
9915743,MEK1,7.853871964321762
24180719,GAK,5.0
4908365,JNK2,5.853871964321762
208908,NEK5,5.0
9884685,PLK3,5.0
10427712,AKT2,5.0
4908365,EGFR(G719C),5.0
3025986,EPHB4,5.0
5329102,ACVR1,5.0
156422,KIT(A829P),5.853871964321762
11338033,LCK,5.0
176155,LATS2,5.0
151194,CLK1,5.0
10184653,CSNK2A2,5.0
9929127,ERK3,5.0
10461815,PRKR,5.0
24889392,ABL1(Q252H)p,5.0
3081361,ABL1(F317L)p,7.481486060122113
51004351,IRAK3,6.744727494896694
11314340,ADCK3,5.0
10184653,KIT(D816H),5.0
16722836,MYLK2,5.522878745280337
25243800,EGFR(L858R),6.0
9809715,LKB1,7.744727494896694
11712649,CDK4-cyclinD3,5.0
4908365,BMPR1B,6.431798275933005
11617559,NEK4,5.0
151194,EGFR(L858RT790M),5.0
151194,CDK3,5.0
6450551,EPHA4,5.0
10074640,EGFR(L747E749del),6.096910013008056
9933475,LRRK2,5.0
16725726,CDK3,5.0
5291,PKN2,5.0
123631,PRKD1,5.455931955649724
156414,CAMK1D,5.0
5291,MYLK,5.0
9884685,ERK1,5.0
10127622,GRK7,5.0
9915743,EPHA6,5.0
5328940,ACVR1B,5.0
16722836,LOK,5.537602002101044
25127112,ABL1(Q252H)p,5.455931955649724
9926791,EGFR(L747T751del),5.0
151194,FLT3(N841I),5.0
25243800,AMPK-alpha1,5.0
11364421,CDK4-cyclinD1,5.0
11984591,PIK3CA(Q546K),5.0
5287969,p38-delta,5.0
5494449,KIT(D816V),6.537602002101044
4908365,EPHB1,5.823908740944319
9926791,EGFR(E746A750del),5.0
123631,ABL1(M351T),6.2839966563652006
11626560,CAMK2B,5.0
9933475,CAMK4,5.0
9809715,MYLK4,6.356547323513813
42642645,MAST1,5.0
151194,LTK,5.0
11656518,AKT1,5.0
10113978,EPHB3,5.0
24779724,EPHA7,5.0
11338033,DYRK1A,6.920818753952375
176870,PFTK1,5.0
5287969,MAP3K15,5.0
