drug_id,prot_id,affinity
11427553,EPHA5,5.0
216239,MAP4K4,5.318758762624413
11712649,PIK3CD,5.0
123631,MST1,5.0
5328940,AMPK-alpha2,5.0
11712649,TNK2,5.0
3081361,PIK3CA(H1047Y),5.0
11314340,EGFR(S752I759del),5.0
5287969,MAP3K15,5.0
151194,MAP4K5,5.0
447077,CDK8,5.0
11427553,ABL1(Y253F),7.443697499232713
5494449,EGFR(S752I759del),5.0
11626560,EPHA4,6.443697499232713
6450551,BRK,5.0
5291,SRMS,5.0
126565,FLT3(D835Y),9.244125144327509
51004351,DMPK2,5.0
10184653,RIPK2,5.568636235841013
10184653,TAOK2,5.0
3081361,EPHA1,6.638272163982407
11338033,GRK7,5.0
5287969,NEK9,5.0
9926791,HIPK1,5.0
44259,PRKCD,8.823908740944319
10127622,DYRK2,5.0
11427553,ABL1(F317I),5.795880017344075
10461815,DAPK3,5.0
11717001,ERK5,5.0
16722836,FLT3(ITD),7.795880017344075
11338033,FLT3(ITD),5.0
11717001,ERBB3,5.638272163982407
176167,TLK1,6.292429823902063
123631,PAK2,5.0
24779724,TBK1,5.0
11485656,OSR1,5.0
9926791,DYRK1A,5.0
11667893,MAP4K4,5.236572006437063
6918454,ABL1(Q252H),5.0
176167,TNNI3K,5.0
216239,PIM2,5.0
11485656,EGFR(L747T751del),5.0
9926791,MARK3,5.0
9915743,EPHA5,5.0
156422,ULK1,5.0
216239,RIPK5,5.0
447077,EPHB6,8.698970004336019
11617559,SRPK1,5.0
156422,EPHA5,5.853871964321762
10184653,PIP5K1A,5.0
644241,TTK,5.0
10127622,SRPK3,5.0
3038525,MAPKAPK5,5.0
25243800,PKAC-alpha,5.431798275933005
11234052,MST1R,5.0
5329102,MEK5,7.337242168318426
5494449,PRKD2,5.0
11667893,ERK3,5.0
644241,IRAK1,5.0
16038120,PFCDPK1(Pfalciparum),6.1487416512809245
11667893,DYRK2,5.0
25243800,STK35,6.301029995663981
11984591,WEE1,6.050609993355088
11626560,KIT(L576P),5.0
5287969,SNRK,5.0
16038120,FLT3(N841I),7.958607314841775
156422,NEK2,5.0
51004351,RPS6KA5(KinDom.1-N-terminal),6.619788758288394
9884685,PHKG1,5.0
11717001,PRP4,5.0
11626560,EGFR(L858R),5.0
176870,FLT3(N841I),6.301029995663981
11984591,EPHB2,6.055517327849832
3025986,CHEK1,5.0
9933475,EPHA6,7.443697499232713
9884685,PIM1,5.0
3038525,EGFR(T790M),5.0
25243800,PIP5K1C,7.744727494896694
10461815,TRKC,6.031517051446065
11656518,EPHA2,5.537602002101044
16722836,NEK9,6.823908740944319
4908365,BRAF,5.0
156414,CDKL5,5.0
11364421,DDR2,5.0
11626560,FLT3(ITD),6.136677139879544
9915743,PFTAIRE2,5.0
5494449,CSNK1E,5.0
11409972,ZAK,8.638272163982407
10138260,MET,5.0
11984591,FLT3(R834Q),8.356547323513812
9809715,CAMK1,5.229147988357856
24889392,MAP3K3,5.0
5494449,SgK110,6.275724130399211
153999,DDR1,5.0
10138260,CTK,5.2076083105017466
25127112,EGFR(L858R),5.0
16722836,PHKG2,5.795880017344075
156414,YANK2,5.0
11626560,INSR,6.468521082957745
11717001,PFPK5(Pfalciparum),5.0
16722836,MARK1,6.154901959985743
126565,HUNK,6.2441251443275085
16722836,YES,6.920818753952375
3025986,CDK4-cyclinD3,7.180456064458132
11667893,SNRK,5.0
