drug_id,prot_id,affinity
11984591,PRKCD,5.3872161432802645
176155,EGFR(T790M),5.6020599913279625
4908365,CDKL3,5.0
10427712,NIM1,5.0
4908365,PIK3CA(E545K),5.0
4908365,PLK2,5.0
11717001,PKN1,5.0
11427553,FGFR3,5.920818753952375
153999,LYN,5.0
3062316,RPS6KA4(KinDom.2-C-terminal),5.0
11984591,SNARK,7.187086643357144
9926791,ABL1(F317L)p,5.0
25127112,ZAP70,5.0
16038120,HPK1,6.853871964321762
9926791,CSNK1G1,5.0
3025986,PRKCH,5.0
44259,MERTK,8.193820026016112
9926791,ADCK3,5.0
9929127,PRKR,5.0
208908,PIK3CA(I800L),5.0
16725726,BMPR2,5.0
9929127,EGFR(E746A750del),5.0
216239,PIK3CG,5.0
156414,TRPM6,5.0
11712649,MEK3,5.0
3081361,SRC,7.154901959985743
44259,PDGFRA,8.0
176155,CAMK1G,5.0
176167,SLK,5.508638306165728
11427553,AXL,6.744727494896694
3038525,MEK4,5.0
16725726,TRKB,5.0
25127112,GCN2(KinDom2S808G),5.0
5291,FLT1,5.0
123631,LZK,5.0
24180719,PFPK5(Pfalciparum),5.0
5329102,BTK,5.6777807052660805
9915743,RPS6KA5(KinDom.1-N-terminal),5.0
9933475,TRKB,5.0
126565,SIK,7.086186147616283
16725726,DCAMKL3,6.958607314841775
11717001,AURKB,5.0
11667893,BRAF(V600E),6.552841968657781
16722836,JAK1(JH1domain-catalytic),7.744727494896694
6918454,TYK2(JH2domain-pseudokinase),5.0
16038120,FYN,5.853871964321762
51004351,HCK,6.142667503568732
156414,KIT(L576P),5.2441251443275085
11617559,PIK3CG,5.0
16725726,EPHA4,5.0
24180719,PLK3,5.0
11712649,MKK7,5.0
10461815,AMPK-alpha1,6.508638306165728
126565,CSNK1G3,5.0
3038522,ERK2,5.0
11667893,FGFR2,5.0
5291,PIK3CA,5.0
9809715,EGFR(L747T751del),5.0
4908365,p38-delta,5.0
156414,ROCK1,5.0
9915743,PIK3CA(C420R),5.0
9926791,ACVR1,5.0
16722836,RET(V804M),7.091514981121351
16722836,BRAF,5.008773924307505
6918454,PRKCE,5.0
3038525,DRAK1,5.0
156422,PRKG2,5.0
123631,PIK3CG,5.0
11712649,LCK,6.229147988357856
11626560,MKK7,5.0
176155,CSK,5.0
11984591,AKT2,5.0
156414,MAK,5.0
3025986,RSK2(KinDom.1-N-terminal),5.0
447077,CSNK1G3,5.0
156414,MERTK,5.0
25243800,AKT2,5.0
10113978,SLK,6.619788758288394
3081361,KIT(L576P),6.853871964321762
44259,NEK6,5.0
5329102,CSNK1G2,6.958607314841775
3038525,JAK2(JH1domain-catalytic),5.0
11984591,RET,8.387216143280265
176870,JNK2,5.698970004336019
5494449,SGK3,5.0
3038525,DCAMKL3,5.0
9929127,NEK4,5.0
126565,ZAK,5.173925197299174
156422,JNK3,6.958607314841775
3062316,SRPK3,5.0
9929127,PRKD3,5.0
16038120,PAK2,5.236572006437063
9933475,LKB1,5.0
216239,MST3,5.0
3025986,EPHB1,5.0
153999,EPHB6,5.0
156422,PLK3,5.0
17755052,MLK1,5.0
25243800,MAP3K3,6.1938200260161125
11427553,MET(Y1235D),6.2441251443275085
10138260,EGFR(G719C),5.045757490560675
10461815,PAK1,5.537602002101044
9929127,KIT(D816H),5.0
156422,MYLK,5.0
44150621,VEGFR2,7.167491087293763
156414,CDK3,5.0
9884685,MAP3K2,5.0
153999,LATS2,6.1938200260161125
176870,ERK1,5.0
25243800,BRAF,6.055517327849832
44259,TAOK1,9.346787486224656
4908365,IKK-alpha,5.0
25243800,RPS6KA5(KinDom.1-N-terminal),5.0
5329102,PKN1,6.1487416512809245
208908,PIK3CB,5.0
44259,PKAC-beta,7.537602002101044
4908365,EGFR(S752I759del),5.0
25243800,FLT3(N841I),5.920818753952375
