drug_id,prot_id,affinity
25127112,FLT3(N841I),5.0
11364421,MEK6,5.0
10127622,ALK,5.0
10127622,BMX,5.0
176167,p38-beta,5.0
10138260,AURKA,5.0
6450551,SRMS,5.0
3081361,PIK4CB,5.0
16007391,TNIK,5.070581074285707
176155,PIK3CA(C420R),5.0
176167,RSK1(KinDom.2-C-terminal),5.0
25127112,FLT4,5.0
5287969,MAST1,5.0
3062316,ERK3,5.0
16007391,MEK6,5.0
156422,p38-beta,8.142667503568731
11364421,SIK,5.0
9929127,DAPK3,5.0
9926054,RPS6KA4(KinDom.2-C-terminal),5.638272163982407
3062316,EPHA3,10.031517051446064
10127622,HUNK,5.0
11656518,YANK3,5.0
11617559,CDKL1,5.0
5329102,MAST1,6.698970004336019
3038525,ASK1,5.0
10127622,CDK4-cyclinD1,5.0
24180719,EGFR,5.0
11617559,JNK3,5.0
25243800,PCTK2,5.0
11717001,AKT2,5.0
6450551,MYLK,5.0
156414,CDK4-cyclinD1,5.0
156414,STK16,5.0
16725726,PAK7,8.050609993355087
156414,ERK3,5.769551078621726
11717001,FLT4,5.0
10074640,TRKC,5.0
10427712,EPHA1,5.0
51004351,MAP3K15,5.0
51004351,CIT,5.0
11626560,MAST1,5.0
3038525,MST2,5.0
10074640,TBK1,5.0
11667893,CDK5,5.0
24180719,MAP4K5,5.494850021680094
11626560,GCN2(KinDom2S808G),5.0
156422,p38-delta,7.10790539730952
3081361,TRPM6,5.0
44150621,PIK3C2G,5.0
5287969,STK35,6.346787486224656
6918454,ABL1(Y253F),5.0
9933475,GSK3B,5.0
24889392,ZAK,5.0
9929127,CSNK1A1L,5.0
11984591,ROCK2,6.251811972993799
11984591,DMPK,5.0
176870,CLK1,5.0
6450551,NEK7,5.0
11626560,KIT(D816H),5.0
10127622,DCAMKL1,5.0
176870,MST1R,5.0
3081361,CSNK1D,5.0
11364421,DMPK,5.537602002101044
25127112,MLK1,5.0
176870,NEK11,5.0
11626560,PIK3CA(E545K),5.0
156422,BMPR1A,5.0
11717001,p38-beta,5.0
10427712,LIMK2,5.0
10127622,LIMK2,5.0
11427553,DYRK2,6.4089353929735005
6918454,CSNK1D,5.0
44150621,PRKG2,5.0
5494449,LRRK2,5.0
9929127,CDK5,5.0
156422,EPHA2,5.2076083105017466
11984591,MRCKB,5.0
3081361,CDK5,5.0
11364421,MST1R,5.0
25243800,TXK,6.481486060122113
16007391,FRK,5.0
11656518,ABL1(F317I),5.10790539730952
6918454,CDC2L2,5.0
6918454,HUNK,5.0
44150621,SIK2,5.431798275933005
24180719,MYLK4,5.468521082957745
11984591,ACVR2A,5.0
6450551,STK16,6.431798275933005
6918454,CSK,5.0
11717001,MYO3B,5.0
5329102,LYN,6.568636235841013
16007391,PCTK2,5.0
176155,RAF1,6.008773924307505
25127112,DLK,5.0
156414,PAK7,5.0
25127112,LRRK2(G2019S),7.045757490560675
24180719,JNK3,5.0
11984591,EPHA5,6.0655015487564325
10138260,CDC2L2,5.0
24889392,PFPK5(Pfalciparum),5.0
10138260,RSK3(KinDom.2-C-terminal),5.017728766960432
176870,WEE2,5.0
176167,MYO3B,5.0
9926054,MEK3,5.0
25127112,CDC2L2,5.0
11717001,LIMK1,5.0
