drug_id,prot_id,affinity
3038525,ICK,5.0
10427712,ABL1p,5.0
9915743,CDKL2,5.0
44150621,JAK1(JH1domain-catalytic),5.0
25243800,PCTK2,5.0
10184653,BMPR1B,5.0
16038120,ABL1(F317I),7.031517051446065
11626560,IKK-epsilon,6.1487416512809245
11667893,MARK3,5.0
644241,MARK2,5.0
24180719,PIK3CA(E542K),5.0
5328940,CSNK1A1,6.552841968657781
10113978,TNK1,5.0
42642645,JNK3,5.4089353929735005
24180719,PIK3CA(H1047L),5.0
176167,MYLK,5.0
11338033,CSNK1A1L,5.0
156422,CDK9,5.0
10461815,MET(Y1235D),9.080921907623926
3038525,TESK1,5.0
644241,p38-beta,7.443697499232713
151194,ICK,5.0
176167,SNRK,5.0
42642645,AKT1,5.0
6918454,CASK,5.0
10461815,PLK3,5.0
176870,PIK3CA(C420R),5.0
123631,KIT(D816V),5.366531544420414
123631,CDK2,5.0
5328940,BRSK2,5.0
9809715,SGK3,6.0
11617559,p38-alpha,5.0
11617559,YES,5.0
5287969,PAK3,5.0
11617559,RSK4(KinDom.2-C-terminal),5.0
156422,PIK3C2B,5.0
24889392,NDR2,5.0
176167,ICK,6.167491087293763
156422,IRAK1,5.0
3038525,BMX,5.0
9809715,MLK3,6.154901959985743
5494449,ABL1(F317L)p,6.3979400086720375
9933475,CLK4,5.0
11409972,RPS6KA4(KinDom.2-C-terminal),5.0
5329102,KIT(D816H),6.958607314841775
4908365,TTK,7.468521082957745
25127112,PRKCI,5.0
644241,PRKD3,5.0
24779724,MYO3B,5.0
644241,CDK5,5.0
208908,CDK9,5.0
9933475,ARK5,5.0
16038120,RIPK5,7.244125144327507
11717001,MAPKAPK5,5.0
10113978,AKT1,5.0
6918454,PRKCH,5.0
644241,SNRK,5.0
9929127,NEK1,5.0
11617559,PIP5K1C,5.0
16007391,CAMK4,5.0
16007391,CDK7,5.2076083105017466
11626560,ABL1(E255K),6.769551078621726
5328940,TNK1,5.0
153999,CHEK1,6.267606240177032
153999,ACVR1,5.0
9809715,MLK2,5.638272163982407
10138260,TNK1,5.823908740944319
16722836,STK36,6.060480747381382
25243800,BRAF,6.055517327849832
44150621,PIK3CA,5.0
123631,TNIK,5.161150909262744
216239,CDK9,5.0
3081361,CDKL1,5.0
3062316,MEK2,5.853871964321762
17755052,MKNK2,5.0
9929127,ABL1(Q252H),5.0
11984591,ROCK1,6.229147988357856
176870,PDGFRA,5.744727494896694
10184653,p38-alpha,5.886056647693163
11626560,ABL1(F317I)p,5.494850021680094
11984591,STK16,8.769551078621726
11409972,PRKD3,5.823908740944319
176167,SRPK3,5.0
11364421,MYLK2,5.0
16722836,CSNK1A1L,5.0
156414,RSK2(KinDom.1-N-terminal),5.0
3038525,STK35,5.0
447077,MELK,5.0
3025986,MAP3K15,5.0
11626560,PRKD1,6.00436480540245
9926054,MET,5.0
17755052,ABL1(Q252H),5.0
16038120,PIK3CA(E545K),5.0
25243800,NLK,6.318758762624413
10461815,HIPK2,6.920818753952375
6450551,TAK1,5.0
10113978,TEC,5.0
24180719,MST1,5.0
11617559,RET(V804L),5.0
17755052,TAOK3,5.0
10113978,ABL1(Y253F),6.318758762624413
10074640,p38-alpha,5.0
10461815,CDKL1,5.0
156422,CAMK2G,5.0
16725726,PIK3C2G,5.0
126565,TRKC,7.853871964321762
447077,CDK3,5.0
6450551,PIK3CA(I800L),5.0
151194,MRCKA,5.0
10461815,MAP3K1,5.0
16038120,BRAF(V600E),5.0
123631,MAP3K1,5.0
3038522,PIM2,5.0
9933475,SRPK3,5.0
42642645,TGFBR1,5.0
16725726,MET,5.0
25243800,MEK2,6.6777807052660805
11626560,STK35,6.214670164989233
11656518,ROS1,5.0
44150621,KIT,8.1249387366083
11626560,NLK,5.0
51004351,PIM1,6.251811972993799
11364421,ALK,6.795880017344075
10461815,CDK11,5.0
10461815,CAMK2G,5.698970004336019
11427553,AMPK-alpha1,6.366531544420414
17755052,MAP4K5,5.0
3038522,ABL1p,5.0
11234052,TBK1,5.0
5287969,RIOK3,5.0
9915743,JAK1(JH2domain-pseudokinase),5.0
11338033,ACVRL1,5.0
9915743,SRC,5.3872161432802645
447077,PAK6,5.0
24779724,STK35,5.0
11667893,CDK2,5.0
5328940,SRC,9.0
25243800,LOK,7.113509274827519
176167,MEK1,5.0
9926054,KIT(V559D-V654A),5.0
151194,CDK3,5.0
3081361,TYRO3,7.031517051446065
9809715,STK35,6.091514981121351
11656518,MST1,5.0
4908365,MYO3A,5.0
16725726,PRKCI,6.6020599913279625
3038522,ZAK,5.0
176870,MST1R,5.0
208908,RSK1(KinDom.2-C-terminal),5.0
51004351,AMPK-alpha1,6.744727494896694
17755052,MTOR,6.698970004336019
11485656,VEGFR2,8.09151498112135
156414,RIPK5,5.0
3081361,PFTK1,5.0
44259,ABL1(F317I),6.259637310505756
11314340,ABL1p,5.0
11656518,BMPR1A,5.0
4908365,TBK1,6.327902142064283
17755052,MKNK1,5.0
11427553,PIK3CA(I800L),5.0
11617559,CDC2L2,5.0
3025986,MKNK1,5.42021640338319
123631,PFTAIRE2,5.0
16038120,CAMKK2,7.958607314841775
9809715,PLK1,5.0
176155,MST2,5.0
3038522,NDR1,5.0
6918454,MAP3K1,5.0
208908,ULK2,5.0
10461815,MKK7,5.0
176167,MKNK2,5.0
5287969,PAK1,5.0
10427712,KIT(V559D-T670I),5.0
3038522,PYK2,5.0
9809715,RIPK1,6.619788758288394
